ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2014-11-24T20:52:26Z,penguinperson77,WebPlayer (websocket RFC6455),59250,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Mr Noah,Panda Bear,Mr Noah,spotify:track:39P8YeUbh9w5nx7pJzEWNN,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:52:32Z,penguinperson77,WebPlayer (websocket RFC6455),6103,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",One,Ed Sheeran,x,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:52:53Z,penguinperson77,WebPlayer (websocket RFC6455),20511,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Don't,Ed Sheeran,x,spotify:track:1huvTbEYtgltjQRXzrNKGi,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:53:39Z,penguinperson77,WebPlayer (websocket RFC6455),45557,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",I See Fire,Ed Sheeran,x,spotify:track:5pY3ovFxbvAg7reGZjJQSp,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:53:51Z,penguinperson77,WebPlayer (websocket RFC6455),10506,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Lips Are Movin,Meghan Trainor,Lips Are Movin,spotify:track:357p2KRTBXeGGw6YfUI1nH,,,,unknown,playbtn,False,0.0,False,0,False
2014-11-24T20:54:19Z,penguinperson77,WebPlayer (websocket RFC6455),27430,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Only,Nicki Minaj,Only,spotify:track:46X0dXeliHXD73sxexJx7d,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:54:54Z,penguinperson77,WebPlayer (websocket RFC6455),34168,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",We Are Here,Alicia Keys,We Are Here,spotify:track:1lEPbd3Pf73s28zoem3IxX,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:55:13Z,penguinperson77,WebPlayer (websocket RFC6455),17999,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Get Her Back,Robin Thicke,Paula,spotify:track:231O3DltLcwtgIKoNbMkrt,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:55:29Z,penguinperson77,WebPlayer (websocket RFC6455),15734,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",You're Mine (Eternal),Mariah Carey,Me. I Am Mariah…The Elusive Chanteuse,spotify:track:0nlMls0o7JPGhbyRNvGnOZ,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:56:06Z,penguinperson77,WebPlayer (websocket RFC6455),27324,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,Get On Up - The James Brown Story,spotify:track:7gJLBHI6q2ca0JzfNHwXjm,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:56:26Z,penguinperson77,WebPlayer (websocket RFC6455),19767,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Congregation,Foo Fighters,Congregation,spotify:track:0DSxvnW4ElCd1I5fIVTeQr,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:57:02Z,penguinperson77,WebPlayer (websocket RFC6455),35155,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",I Won't Let You Down,OK Go,Hungry Ghosts,spotify:track:2xHlwGuBr9RXu8nlawDUka,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:57:13Z,penguinperson77,WebPlayer (websocket RFC6455),10092,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",No One Is Lost,Stars,No One Is Lost,spotify:track:5aACDlVqGoAuK0n4ZU0uYA,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:57:21Z,penguinperson77,WebPlayer (websocket RFC6455),7149,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Do Or Die,Thirty Seconds To Mars,LOVE LUST FAITH + DREAMS,spotify:track:1mMe0felnLtY2QjR7VcgrA,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:57:59Z,penguinperson77,WebPlayer (websocket RFC6455),36830,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",First,Cold War Kids,Hold My Home,spotify:track:0aGSUNleFqs5HNEJcwqvXJ,,,,unknown,playbtn,False,0.0,False,0,False
2014-11-24T20:58:07Z,penguinperson77,WebPlayer (websocket RFC6455),7154,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Trainwreck 1979 - Moulder Mix with in/out fades,Death From Above 1979,Trainwreck 1979,spotify:track:32I8vEvwsUXTst1QSsmpSR,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T20:58:31Z,penguinperson77,WebPlayer (websocket RFC6455),23069,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Would You Fight For My Love?,Jack White,Lazaretto,spotify:track:5hSWVcAtSK8PUoLr8eomMG,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T20:59:13Z,penguinperson77,WebPlayer (websocket RFC6455),41328,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Eyes Open,Taylor Swift,The Hunger Games: Songs From District 12 And Beyond,spotify:track:7wjbSn8QHsxqKXU5M0jXGM,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T21:01:22Z,penguinperson77,WebPlayer (websocket RFC6455),111364,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Should've Said No - The 3D Concert Experience,Jonas Brothers,Music from the 3D Concert Experience,spotify:track:06FXaDDdg0BzXl15cthMS5,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T21:01:28Z,penguinperson77,WebPlayer (websocket RFC6455),5620,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",One Direction - Today's Top Hits Intro,Various Artists,One Direction - Playlist Intros,spotify:track:2Aa94myC4778D729OI3xtq,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T21:01:42Z,penguinperson77,WebPlayer (websocket RFC6455),13135,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Funk (feat. Bruno Mars),spotify:track:4rmPQGwcLQjCoFq5NrTA0D,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T21:01:50Z,penguinperson77,WebPlayer (websocket RFC6455),7461,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Froot,MARINA,Froot,spotify:track:5PunDsEWLUObA651Ae1lwb,,,,unknown,unknown,False,0.0,False,0,False
2014-11-24T21:02:04Z,penguinperson77,WebPlayer (websocket RFC6455),12199,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",Got It,Marian Hill,Got It,spotify:track:3Kxr1WYY0WeTgSJ4gEWsPf,,,,playbtn,playbtn,False,0.0,False,0,False
2014-11-24T21:02:08Z,penguinperson77,WebPlayer (websocket RFC6455),3501,US,99.59.186.204,"Mozilla%2f5.0%20(X11%3b%20CrOS%20armv7l%206158.70.0)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.110%20Safari%2f537.36",When I Get My Hands On You,The New Basement Tapes,Lost On The River,spotify:track:4Fs6KJzg4d0xrGZt7wrC0M,,,,unknown,unknown,False,0.0,False,0,False
