endTime,artistName,trackName,msPlayed
2023-10-22 22:48,Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",12610
2023-10-22 22:48,BoyWithUke,idtwcbf (friends),8360
2023-10-22 22:49,BoyWithUke,Rockstar,5880
2023-10-22 22:49,BoyWithUke,Trauma,13180
2023-10-22 22:49,Noah Kahan,Paul Revere,52890
2023-10-22 22:50,Taylor Swift,Holy Ground (Taylor's Version),31380
2023-10-22 22:50,Twenty One Pilots,House of Gold,4840
2023-10-22 22:50,Cage The Elephant,Cigarette Daydreams,3030
2023-10-22 22:50,Ed Sheeran,Vega,17070
2023-10-22 22:57,Noah Kahan,False Confidence,11500
2023-10-22 22:57,Jack Johnson,Upside Down,20100
2023-10-22 22:57,Ed Sheeran,Vega,6190
2023-10-22 22:57,Mt. Joy,Silver Lining,5270
2023-10-22 22:57,Noah Kahan,"Everywhere, Everything",121000
2023-10-22 22:58,BoyWithUke,Trauma,17860
2023-10-22 22:58,Mac Miller,The Spins,10000
2023-10-22 22:58,Noah Kahan,False Confidence,3020
2023-10-22 22:58,Vance Joy,Riptide,11080
2023-10-22 22:58,Adele,Right As Rain,8010
2023-10-22 22:58,BoyWithUke,idtwcbf (friends),4220
2023-10-22 22:59,The Neighbourhood,Sweater Weather,17340
2023-10-22 22:59,Frankie Valli & The Four Seasons,"December, 1963 (Oh, What a Night)",5500
2023-10-22 22:59,John Lloyd Young,Walk Like a Man,28550
2023-10-22 22:59,Owl City,Fireflies,2810
2023-10-22 23:01,Olivia Rodrigo,vampire,48630
2023-10-22 23:01,Taylor Swift,august,69960
2023-10-22 23:02,Taylor Swift,Hits Different,66350
2023-10-22 23:03,Taylor Swift,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),52260
2023-10-22 23:03,Taylor Swift,exile (feat. Bon Iver),7730
2023-10-22 23:04,Taylor Swift,Carolina - From The Motion Picture “Where The Crawdads Sing”,25300
2023-10-22 23:04,Taylor Swift,The Very First Night (Taylor's Version) (From The Vault),18910
2023-10-22 23:06,Taylor Swift,ivy,79440
2023-10-22 23:08,The Cranberries,Dreams,10260
2023-10-23 01:40,Bakar,Hell N Back,9514
2023-10-23 01:40,Lord Huron,Meet Me in the Woods,13440
2023-10-23 01:40,Lord Huron,Meet Me in the Woods,22869
2023-10-23 01:41,Coldplay,Sparks,21034
2023-10-23 01:41,The Cranberries,Dreams,38528
2023-10-23 01:41,Supergrass,Alright,10069
2023-10-23 01:42,Sixpence None The Richer,Kiss Me,15445
2023-10-23 01:42,Dr. Dog,Where'd All the Time Go?,26048
2023-10-23 01:43,King Harvest,Dancing in the Moonlight,5354
2023-10-23 01:43,King Princess,1950,42
2023-10-23 01:43,Peter Bjorn and John,Young Folks,23423
2023-10-23 01:44,King Harvest,Dancing in the Moonlight,50816
2023-10-23 01:44,Tears For Fears,Everybody Wants To Rule The World,13376
2023-10-23 01:44,King Princess,1950,45077
2023-10-23 01:46,Dr. Dog,Where'd All the Time Go?,76842
2023-10-23 01:47,King Harvest,Dancing in the Moonlight,17834
2023-10-23 01:47,Bakar,Hell N Back,14186
2023-10-23 01:47,Supergrass,Alright,10325
2023-10-23 01:47,Peter Bjorn and John,Young Folks,55594
2023-10-23 01:48,Coldplay,Clocks,5973
2023-10-23 01:48,Noah Kahan,You’re Gonna Go Far,15637
2023-10-23 01:50,Noah Kahan,You’re Gonna Go Far,159018
2023-10-23 01:51,BoyWithUke,IDGAF (with blackbear),8149
2023-10-23 01:51,Beach Bunny,Cloud 9,6720
2023-10-23 01:51,Beach Bunny,Prom Queen,21781
2023-10-23 01:56,Beach Bunny,Cloud 9,20799
2023-10-23 01:56,Beach Bunny,Sports,2581
2023-10-23 18:43,Beach Bunny,Sports,13096
2023-10-23 18:44,Bakar,Hell N Back,84241
2023-10-23 18:45,Skinny Dyck,Dreamin',580
2023-10-23 18:45,Skinny Dyck,Dreamin',812
2023-10-23 18:45,Sixpence None The Richer,Kiss Me,1230
2023-10-23 18:45,Sixpence None The Richer,Kiss Me,34435
2023-10-23 18:45,iann dior,Pretty Girls,6873
2023-10-23 18:45,GROUPLOVE,Colours,2484
2023-10-23 18:45,GROUPLOVE,Colours,905
2023-10-23 18:46,Bakar,Hell N Back,31416
2023-10-23 18:46,Dr. Dog,Where'd All the Time Go?,3320
2023-10-23 18:46,Supergrass,Alright,5247
2023-10-23 18:51,Peter Bjorn and John,Young Folks,117098
2023-10-23 19:40,Peter Bjorn and John,Young Folks,159496
2023-10-23 20:06,Imagine Dragons,Shots,79680
2023-10-23 21:14,Snow Wife,AMERICAN HORROR SHOW,7330
2023-10-23 21:14,Taylor Swift,Don’t Blame Me,7810
2023-10-23 21:15,King Harvest,Dancing in the Moonlight,7070
2023-10-23 21:15,Billie Eilish,No Time To Die,16280
2023-10-23 21:15,Dr. Dog,Where'd All the Time Go?,20630
2023-10-23 21:15,Peter Bjorn and John,Young Folks,17430
2023-10-23 21:16,Supergrass,Alright,16360
2023-10-23 21:16,Noah Kahan,You’re Gonna Go Far,19560
2023-10-23 21:19,Noah Kahan,She Calls Me Back,1922
2023-10-23 21:19,Noah Kahan,Dial Drunk,213817
2023-10-23 21:23,Noah Kahan,Maine,232618
2023-10-23 21:28,Noah Kahan,"Everywhere, Everything",257668
2023-10-23 21:29,BoyWithUke,Rockstar,10170
2023-10-23 21:29,BoyWithUke,Trauma,1120
2023-10-23 21:29,BoyWithUke,Trauma,9860
2023-10-23 21:29,The Lumineers,Stubborn Love,9893
2023-10-23 21:29,Taylor Swift,Holy Ground (Taylor's Version),11890
2023-10-23 21:29,Taylor Swift,Holy Ground (Taylor's Version),730
2023-10-23 21:29,BoyWithUke,idtwcbf (friends),7460
2023-10-24 01:37,Dr. Dog,Where'd All the Time Go?,28340
2023-10-24 01:37,Noah Kahan,You’re Gonna Go Far,8210
2023-10-24 01:37,Peter Bjorn and John,Young Folks,134610
2023-10-24 01:37,Taylor Swift,august,18380
2023-10-24 01:38,King Harvest,Dancing in the Moonlight,13370
2023-10-24 01:38,Supergrass,Alright,5230
2023-10-24 01:38,The Lumineers,Ho Hey,1960
2023-10-24 01:38,Vance Joy,Riptide,2120
2023-10-24 01:38,Lord Huron,Meet Me in the Woods,4430
2023-10-24 01:38,Ed Sheeran,Vega,26700
2023-10-24 01:38,Ed Sheeran,Vega,1870
2023-10-24 01:39,Noah Kahan,Maine,23360
2023-10-24 01:39,Noah Kahan,Dial Drunk,23690
2023-10-24 01:40,Gregory Alan Isakov,Big Black Car,30990
2023-10-24 01:41,BoyWithUke,IDGAF (with blackbear),5310
2023-10-24 01:41,BoyWithUke,Trauma,19490
2023-10-24 01:41,John Vincent III,Next to You,17310
2023-10-24 01:41,Johnny Cash,Ring of Fire,8530
2023-10-24 01:41,Blondie,Heart Of Glass,43630
2023-10-24 01:43,Noah Kahan,New Perspective,66010
2023-10-24 01:43,Rainbow Kitten Surprise,Our Song,6540
2023-10-24 01:43,Rainbow Kitten Surprise,Cocaine Jesus,33140
2023-10-24 01:43,Rainbow Kitten Surprise,When It Lands,3090
2023-10-24 01:43,Noah Kahan,Call Your Mom,13610
2023-10-24 01:44,Lost Frequencies,Reality,13890
2023-10-24 01:44,Rainbow Kitten Surprise,It's Called: Freefall,16440
2023-10-24 01:45,Taylor Swift,Long Live (Taylor's Version),86450
2023-10-24 01:46,Phillip Phillips,Home,21970
2023-10-24 01:46,Edward Sharpe & The Magnetic Zeros,Home,6990
2023-10-24 01:47,The Lumineers,Sleep On The Floor,7050
2023-10-24 01:47,Edward Sharpe & The Magnetic Zeros,Home,85710
2023-10-24 02:14,Bakar,Hell N Back,108203
2023-10-24 02:14,benny blanco,You (with Marshmello & Vance Joy),10986
2023-10-24 02:18,Sixpence None The Richer,Kiss Me,208680
2023-10-24 02:19,Bastille,Good Grief,1010
2023-10-24 02:19,M83,Midnight City,102010
2023-10-24 02:22,Sundara Karma,She Said,980
2023-10-24 02:22,CAKE,The Distance,170880
2023-10-24 02:22,BANNERS,Shine A Light,720
2023-10-24 02:22,DREAMERS,Wolves (You Got Me),780
2023-10-24 02:23,Hans Williams,All Is Well,240
2023-10-24 02:23,Jeremy Zucker,comethru,12000
2023-10-24 02:23,Noah Kahan,Maine,1360
2023-10-24 02:23,Noah Kahan,Dial Drunk (with Post Malone),41020
2023-10-24 02:24,Noah Kahan,Paul Revere,33510
2023-10-24 20:59,Peter Bjorn and John,Young Folks,276693
2023-10-24 21:00,Saint Motel,Van Horn,7529
2023-10-24 21:04,Noah Kahan,"Everywhere, Everything",257668
2023-10-25 15:15,Bakar,Hell N Back,5141
2023-10-25 15:15,Noah Kahan,You’re Gonna Go Far,7338
2023-10-25 15:17,Noah Kahan,She Calls Me Back,119658
2023-10-25 15:17,Noah Kahan,Call Your Mom,9237
2023-10-25 15:20,Noah Kahan,"Everywhere, Everything",173184
2023-10-25 16:33,Supergrass,Alright,11754
2023-10-25 16:33,Taylor Swift,Long Live (Taylor's Version),4437
2023-10-25 16:33,Noah Kahan,"Everywhere, Everything",29120
2023-10-25 16:35,Taylor Swift,august,74538
2023-10-25 16:37,Taylor Swift,champagne problems,114687
2023-10-25 16:38,Taylor Swift,betty,2495
2023-10-25 16:38,Taylor Swift,tolerate it,55509
2023-10-25 16:39,Taylor Swift,my tears ricochet,51690
2023-10-25 16:41,Taylor Swift,marjorie,79103
2023-10-25 16:42,Noah Kahan,Maine,113301
2023-10-25 16:46,Noah Kahan,Paul Revere,213313
2023-10-25 16:49,George Ezra,Budapest,161077
2023-10-25 16:50,BoyWithUke,Rockstar,37141
2023-10-25 16:50,BoyWithUke,Trauma,57621
2023-10-25 16:51,Lord Huron,Meet Me in the Woods,10560
2023-10-25 16:51,Ed Sheeran,Vega,20095
2023-10-25 16:52,Noah Kahan,New Perspective,97408
2023-10-25 16:53,Noah Kahan,You’re Gonna Go Far,18623
2023-10-25 16:53,Jack Johnson,Upside Down,8405
2023-10-25 16:53,Noah Kahan,Orange Juice,917
2023-10-25 16:53,Noah Kahan,Growing Sideways,9621
2023-10-25 18:26,Noah Kahan,Paul Revere,35605
2023-10-25 18:27,Noah Kahan,She Calls Me Back,51114
2023-10-25 18:27,Noah Kahan,New Perspective,2901
